BondCode,BondName,Issuer,Term,CreditRating,BondType,IssueDate,CouponRate,_priority,_merge_code
185970,22临债02,上海临港控股股份有限公司,5.0,AAA,02,2022-07-20,2.95,999,185970
185971,22恒信G3,海通恒信国际融资租赁股份有限公司,3.0,AAA,02,2022-07-13,3.44,999,185971
185972,22能租01,国能融资租赁有限公司,3.0,AAA,02,2022-08-22,2.84,999,185972
185973,22国君G7,国泰海通证券股份有限公司,3.0,AAA,02,2022-07-11,2.92,999,185973
185974,22国君G8,国泰海通证券股份有限公司,5.0,AAA,02,2022-07-11,3.27,999,185974
185975,22惠控01,无锡市惠山国有投资控股集团有限公司,3.0,,02,2022-07-15,2.9,999,185975
185976,22杭金03,杭州市金融投资集团有限公司,5.0,AAA,02,2022-07-19,2.99,999,185976
185977,22鸿商01,鸿商产业控股集团有限公司,3.0,AA+,02,2022-08-12,6.4,999,185977
185978,22宏桥02,山东宏桥新型材料有限公司,3.0,AA+,02,2022-08-09,4.5,999,185978
185979,22安建Y1,安徽建工集团股份有限公司,,AA+,02,2022-07-11,4.9,999,185979
185981,22鲁资06,山东省国有资产投资控股有限公司,5.0,,02,2022-07-13,3.47,999,185981
185982,22安租Y3,平安国际融资租赁有限公司,,AAA,02,2022-11-01,4.2,999,185982
185983,22大宁01,上海大宁资产经营(集团)有限公司,7.0,AA+,02,2022-07-18,3.4,999,185983
185984,22东兴G3,东兴证券股份有限公司,1.03,AAA,02,2022-07-14,2.39,999,185984
185985,22中交Y1,中交第四航务工程局有限公司,,AAA,02,2022-08-03,3.04,999,185985
185986,22建银03,中国建银投资有限责任公司,3.0,AAA,02,2022-07-15,2.95,999,185986
185988,22海控Y1,青岛西海岸新区海洋控股集团有限公司,,AAA,02,2022-08-03,3.3,999,185988
185989,22中科02,北京中关村科技创业金融服务集团有限公司,3.0,,02,2022-07-13,3.63,999,185989
185990,22城建02,北京城建投资发展股份有限公司,5.0,AAA,02,2022-07-21,3.22,999,185990
185991,22新汶Y1,新汶矿业集团有限责任公司,,AAA,02,2022-07-13,3.86,999,185991
185992,22同安01,同安控股有限责任公司,5.0,,02,2022-07-18,3.95,999,185992
185993,22阳安02,华创云信数字技术股份有限公司,2.0,AA+,02,2022-07-19,5.6,999,185993
185994,22航租03,中航国际融资租赁有限公司,5.0,AAA,02,2022-07-14,3.13,999,185994
185995,22国科K2,中国科学院控股有限公司,5.0,,02,2022-07-22,2.99,999,185995
185997,22苏新05,苏州苏高新集团有限公司,5.0,,02,2022-07-26,2.92,999,185997
185998,22中航Y3,中航科创有限公司,,AAA,02,2022-07-13,3.1,999,185998
185999,22中航Y4,中航科创有限公司,,AAA,02,2022-07-13,3.45,999,185999
188000,21建材01,中国建材股份有限公司,3.0,AAA,02,2021-04-20,3.4,999,188000
188002,H深钜03,深圳市钜盛华股份有限公司,5.0,AA+,02,2021-05-18,7.5,999,188002
188003,21招证C3,招商证券股份有限公司,,AAA,,,,999,188003
188004,21赣融Y1,江西省金融控股集团有限公司,,AAA,02,2021-04-30,5.0,999,188004
188005,21锡交Y3,无锡市交通产业集团有限公司,,AAA,02,2021-06-28,3.89,999,188005
188007,21中关Y1,中关村发展集团股份有限公司,,AAA,02,2021-04-26,3.74,999,188007
188008,21新工01,南京新工投资集团有限责任公司,3.0,AAA,02,2021-04-29,3.68,999,188008
188009,21中化T1,中化资本投资管理有限责任公司,3.0,AAA,02,2021-04-29,3.95,999,188009
188010,21常熟01,常熟市城市经营投资集团有限公司,5.0,AA+,02,2021-04-28,3.69,999,188010
188011,21筑城02,贵阳市城市建设投资集团有限公司,5.0,AA+,02,2021-08-23,6.0,999,188011
188013,21航控01,中航工业产融控股股份有限公司,2.0,AAA,02,2021-04-23,3.4,999,188013
188014,21航控02,中航工业产融控股股份有限公司,3.0,AAA,02,2021-04-23,3.65,999,188014
188015,国电投03,国家电力投资集团有限公司,2.0,AAA,02,2021-04-26,3.29,999,188015
188016,21通城02,南通城市建设集团有限公司,3.0,AAA,02,2021-04-22,3.67,999,188016
188017,21长寿G1,重庆长寿开发投资(集团)有限公司,5.0,AA+,02,2021-05-11,5.86,999,188017
188020,21南资02,南方工业资产管理有限责任公司,3.0,AA+,02,2021-04-30,4.1,999,188020
188021,21国保01,国新商业保理有限公司,3.0,AAA,02,2021-05-24,3.7,999,188021
188023,21苏农01,苏州市农业发展集团有限公司,5.0,AA+,02,2021-04-29,3.9,999,188023
188024,21银河Y2,中国银河证券股份有限公司,,AAA,,,,999,188024
188025,21蚌投01,蚌埠投资集团有限公司,5.0,AAA,02,2021-12-13,3.61,999,188025
188026,21华租01,华电融资租赁有限公司,3.0,AAA,02,2021-04-30,3.96,999,188026
188027,21淮矿01,淮北矿业控股股份有限公司,2.0,AAA,02,2021-04-27,3.59,999,188027
188028,21兴泸02,泸州市兴泸投资集团有限公司,5.0,AA+,02,2021-04-26,3.8,999,188028
188029,21兴泸03,泸州市兴泸投资集团有限公司,5.0,AA+,02,2021-04-26,4.4,999,188029
188030,21北控01,北京控股集团有限公司,3.0,AAA,02,2021-04-27,3.45,999,188030
188031,21建发Y2,厦门建发股份有限公司,,AAA,02,2021-04-26,4.13,999,188031
